identity,filename,path
Aaron_Peirsol,Aaron_Peirsol_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0001.jpg
Aaron_Peirsol,Aaron_Peirsol_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0002.jpg
Aaron_Peirsol,Aaron_Peirsol_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0003.jpg
Aaron_Peirsol,Aaron_Peirsol_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0004.jpg
Aaron_Sorkin,Aaron_Sorkin_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Sorkin/Aaron_Sorkin_0001.jpg
Aaron_Sorkin,Aaron_Sorkin_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Sorkin/Aaron_Sorkin_0002.jpg
Abdel_Nasser_Assidi,Abdel_Nasser_Assidi_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg
Abdel_Nasser_Assidi,Abdel_Nasser_Assidi_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg
Abdoulaye_Wade,Abdoulaye_Wade_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg
Abdoulaye_Wade,Abdoulaye_Wade_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0002.jpg
Abdoulaye_Wade,Abdoulaye_Wade_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0003.jpg
Abdoulaye_Wade,Abdoulaye_Wade_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0004.jpg
Abdullah,Abdullah_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah/Abdullah_0001.jpg
