dataset,identity,filename,path,source_tool,mask_type,is_masked
lfw_subset,Aaron_Peirsol,Aaron_Peirsol_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,none,unmasked,0
lfw_subset,Aaron_Peirsol,Aaron_Peirsol_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,none,unmasked,0
lfw_subset,Aaron_Peirsol,Aaron_Peirsol_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,none,unmasked,0
lfw_subset,Aaron_Peirsol,Aaron_Peirsol_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,none,unmasked,0
lfw_subset,Aaron_Sorkin,Aaron_Sorkin_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,none,unmasked,0
lfw_subset,Aaron_Sorkin,Aaron_Sorkin_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,none,unmasked,0
lfw_subset,Abdel_Nasser_Assidi,Abdel_Nasser_Assidi_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,none,unmasked,0
lfw_subset,Abdel_Nasser_Assidi,Abdel_Nasser_Assidi_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,none,unmasked,0
lfw_subset,Abdoulaye_Wade,Abdoulaye_Wade_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg,none,unmasked,0
lfw_subset,Abdoulaye_Wade,Abdoulaye_Wade_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0002.jpg,none,unmasked,0
lfw_subset,Abdoulaye_Wade,Abdoulaye_Wade_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0003.jpg,none,unmasked,0
lfw_subset,Abdoulaye_Wade,Abdoulaye_Wade_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdoulaye_Wade/Abdoulaye_Wade_0004.jpg,none,unmasked,0
lfw_subset,Abdullah,Abdullah_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah/Abdullah_0001.jpg,none,unmasked,0
lfw_subset,Abdullah,Abdullah_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah/Abdullah_0002.jpg,none,unmasked,0
lfw_subset,Abdullah,Abdullah_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah/Abdullah_0003.jpg,none,unmasked,0
lfw_subset,Abdullah,Abdullah_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah/Abdullah_0004.jpg,none,unmasked,0
lfw_subset,Abdullah_Gul,Abdullah_Gul_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_Gul/Abdullah_Gul_0001.jpg,none,unmasked,0
lfw_subset,Abdullah_Gul,Abdullah_Gul_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_Gul/Abdullah_Gul_0002.jpg,none,unmasked,0
lfw_subset,Abdullah_Gul,Abdullah_Gul_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_Gul/Abdullah_Gul_0003.jpg,none,unmasked,0
lfw_subset,Abdullah_Gul,Abdullah_Gul_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_Gul/Abdullah_Gul_0004.jpg,none,unmasked,0
lfw_subset,Abdullah_al-Attiyah,Abdullah_al-Attiyah_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0001.jpg,none,unmasked,0
lfw_subset,Abdullah_al-Attiyah,Abdullah_al-Attiyah_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,none,unmasked,0
lfw_subset,Abdullah_al-Attiyah,Abdullah_al-Attiyah_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0003.jpg,none,unmasked,0
lfw_subset,Abdullatif_Sener,Abdullatif_Sener_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullatif_Sener/Abdullatif_Sener_0001.jpg,none,unmasked,0
lfw_subset,Abdullatif_Sener,Abdullatif_Sener_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abdullatif_Sener/Abdullatif_Sener_0002.jpg,none,unmasked,0
lfw_subset,Abel_Pacheco,Abel_Pacheco_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abel_Pacheco/Abel_Pacheco_0001.jpg,none,unmasked,0
lfw_subset,Abel_Pacheco,Abel_Pacheco_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abel_Pacheco/Abel_Pacheco_0002.jpg,none,unmasked,0
lfw_subset,Abel_Pacheco,Abel_Pacheco_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abel_Pacheco/Abel_Pacheco_0003.jpg,none,unmasked,0
lfw_subset,Abel_Pacheco,Abel_Pacheco_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abel_Pacheco/Abel_Pacheco_0004.jpg,none,unmasked,0
lfw_subset,Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abid_Hamid_Mahmud_Al-Tikriti/Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,none,unmasked,0
lfw_subset,Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abid_Hamid_Mahmud_Al-Tikriti/Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,none,unmasked,0
lfw_subset,Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Abid_Hamid_Mahmud_Al-Tikriti/Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,none,unmasked,0
lfw_subset,Adam_Sandler,Adam_Sandler_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adam_Sandler/Adam_Sandler_0001.jpg,none,unmasked,0
lfw_subset,Adam_Sandler,Adam_Sandler_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adam_Sandler/Adam_Sandler_0002.jpg,none,unmasked,0
lfw_subset,Adam_Sandler,Adam_Sandler_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adam_Sandler/Adam_Sandler_0003.jpg,none,unmasked,0
lfw_subset,Adam_Sandler,Adam_Sandler_0004.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adam_Sandler/Adam_Sandler_0004.jpg,none,unmasked,0
lfw_subset,Adam_Scott,Adam_Scott_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adam_Scott/Adam_Scott_0001.jpg,none,unmasked,0
lfw_subset,Adam_Scott,Adam_Scott_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adam_Scott/Adam_Scott_0002.jpg,none,unmasked,0
lfw_subset,Adel_Al-Jubeir,Adel_Al-Jubeir_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adel_Al-Jubeir/Adel_Al-Jubeir_0001.jpg,none,unmasked,0
lfw_subset,Adel_Al-Jubeir,Adel_Al-Jubeir_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adel_Al-Jubeir/Adel_Al-Jubeir_0002.jpg,none,unmasked,0
lfw_subset,Adel_Al-Jubeir,Adel_Al-Jubeir_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adel_Al-Jubeir/Adel_Al-Jubeir_0003.jpg,none,unmasked,0
lfw_subset,Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser_0001.jpg,none,unmasked,0
lfw_subset,Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser_0002.jpg,none,unmasked,0
lfw_subset,Adolfo_Aguilar_Zinser,Adolfo_Aguilar_Zinser_0003.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adolfo_Aguilar_Zinser/Adolfo_Aguilar_Zinser_0003.jpg,none,unmasked,0
lfw_subset,Adolfo_Rodriguez_Saa,Adolfo_Rodriguez_Saa_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa_0001.jpg,none,unmasked,0
lfw_subset,Adolfo_Rodriguez_Saa,Adolfo_Rodriguez_Saa_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adolfo_Rodriguez_Saa/Adolfo_Rodriguez_Saa_0002.jpg,none,unmasked,0
lfw_subset,Adrian_McPherson,Adrian_McPherson_0001.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adrian_McPherson/Adrian_McPherson_0001.jpg,none,unmasked,0
lfw_subset,Adrian_McPherson,Adrian_McPherson_0002.jpg,/home/varunaditya/Projects/Project_ARGUS/datasets/processed/LFW_subset/Adrian_McPherson/Adrian_McPherson_0002.jpg,none,unmasked,0
